iter	MultiClass
0	1.372314558
1	1.359196369
2	1.346834653
3	1.335289035
4	1.324463046
5	1.314126782
6	1.304479141
7	1.295301251
8	1.286556244
9	1.278326697
10	1.270578419
11	1.263239488
12	1.256310098
13	1.249744218
14	1.243489229
15	1.23755481
16	1.231900751
17	1.226533172
18	1.221364754
19	1.216546336
20	1.211959507
21	1.207620235
22	1.203365508
23	1.199359847
24	1.195537153
25	1.191960637
26	1.188503784
27	1.185167362
28	1.182067667
29	1.179110074
30	1.176258067
31	1.173557705
32	1.170936066
33	1.168439073
34	1.166046098
35	1.163738587
36	1.161519893
37	1.159409218
38	1.157358037
39	1.155451753
40	1.15368127
41	1.151936198
42	1.150238535
43	1.148675306
44	1.147129511
45	1.145691633
46	1.144321372
47	1.142970507
48	1.141683392
49	1.140440743
50	1.139219823
51	1.138139415
52	1.137014122
53	1.136024703
54	1.134977423
55	1.134067525
56	1.133152522
57	1.132265382
58	1.131391934
59	1.130534276
60	1.12975838
61	1.129061027
62	1.128354139
63	1.12770522
64	1.12704128
65	1.126434516
66	1.125751248
67	1.125192896
68	1.124666155
69	1.124125082
70	1.123596284
71	1.12308534
72	1.122611814
73	1.122139477
74	1.121650375
75	1.121177691
76	1.120743486
77	1.120338309
78	1.119932547
79	1.119583026
80	1.119256979
81	1.11889659
82	1.11855044
83	1.11824848
84	1.117913678
85	1.117634433
86	1.117368297
87	1.117047806
88	1.116770692
89	1.11652204
90	1.116230479
91	1.115973849
92	1.115761483
93	1.115494456
94	1.115244131
95	1.115014064
96	1.114816677
97	1.114627959
98	1.114419378
99	1.114189424
100	1.114023582
101	1.113846629
102	1.113619798
103	1.113414477
104	1.113259438
105	1.113074865
106	1.112915094
107	1.112734081
108	1.112569494
109	1.112423308
110	1.112273495
111	1.112120619
112	1.111945401
113	1.111805229
114	1.111688998
115	1.111570219
116	1.111464165
117	1.111305499
118	1.111186333
119	1.111095367
120	1.110941608
121	1.110823242
122	1.110737921
123	1.110613818
124	1.110475463
125	1.110362237
126	1.11024122
127	1.110142724
128	1.110033787
129	1.10994928
130	1.109869464
131	1.10976465
132	1.109648533
133	1.109538634
134	1.109418302
135	1.10932242
136	1.109237098
137	1.109144032
138	1.109041994
139	1.108975068
140	1.108908196
141	1.108826721
142	1.108719211
143	1.108620073
144	1.108535679
145	1.108445001
146	1.108364665
147	1.108265443
148	1.108197682
149	1.108108665
150	1.108032754
151	1.107945573
152	1.107879157
153	1.107784426
154	1.107724075
155	1.107650847
156	1.107553057
157	1.107461146
158	1.10740287
159	1.107334207
160	1.107265657
161	1.107202008
162	1.107141367
163	1.107067154
164	1.106982277
165	1.106908596
166	1.106836783
167	1.106772786
168	1.106702145
169	1.106605556
170	1.106528993
171	1.106453235
172	1.106383557
173	1.106321277
174	1.106262765
175	1.1061798
176	1.106126884
177	1.106051978
178	1.105986538
179	1.10592293
180	1.105861954
181	1.105816655
182	1.10576153
183	1.105698675
184	1.105636627
185	1.105579012
186	1.105516263
187	1.105448265
188	1.105381348
189	1.105318024
190	1.105269699
191	1.105218936
192	1.105152207
193	1.105099069
194	1.105030311
195	1.104988482
196	1.104944491
197	1.104880338
198	1.104828384
199	1.104766076
200	1.104701026
201	1.104645618
202	1.104592105
203	1.104544402
204	1.104483588
205	1.104438215
206	1.104379969
207	1.104341593
208	1.10428648
209	1.104237681
210	1.104174066
211	1.10411174
212	1.104052086
213	1.104011429
214	1.103951085
215	1.103919221
216	1.103867531
217	1.103817072
218	1.103776357
219	1.10372241
220	1.103683786
221	1.103638961
222	1.10359702
223	1.103551497
224	1.103485503
225	1.10343728
226	1.103378804
227	1.103343856
228	1.10329319
229	1.103247038
230	1.103206577
231	1.103174271
232	1.103131893
233	1.103102177
234	1.103061876
235	1.103015581
236	1.102969312
237	1.102927493
238	1.102859393
239	1.102822399
240	1.102773945
241	1.102721547
242	1.102673236
243	1.102647225
244	1.102608065
245	1.102567794
246	1.102517085
247	1.102471743
248	1.102427655
249	1.102386635
250	1.10235529
251	1.102296725
252	1.102255089
253	1.102222422
254	1.102163878
255	1.102110155
256	1.102066734
257	1.102019606
258	1.101988736
259	1.101946043
260	1.101878413
261	1.101829433
262	1.10179371
263	1.101740555
264	1.101704558
265	1.101681615
266	1.101649434
267	1.101595544
268	1.101552906
269	1.101507341
270	1.101467242
271	1.101434485
272	1.101411355
273	1.101373159
274	1.101331788
275	1.101299269
276	1.10126419
277	1.101234916
278	1.101195612
279	1.101171841
280	1.101133007
281	1.101108165
282	1.101067522
283	1.101040423
284	1.100992791
285	1.100943755
286	1.100904722
287	1.10087842
288	1.100848874
289	1.100801166
290	1.100761822
291	1.100727343
292	1.100683304
293	1.100639193
294	1.100598868
295	1.100574427
296	1.100528416
297	1.100503171
298	1.100463632
299	1.100425467
300	1.100393087
301	1.100359308
302	1.100317946
303	1.100275198
304	1.100250956
305	1.100216129
306	1.100176272
307	1.10014011
308	1.100101578
309	1.100075269
310	1.100052944
311	1.10000514
312	1.099965154
313	1.099944037
314	1.099898008
315	1.099862672
316	1.099833095
317	1.099805638
318	1.099775998
319	1.099734683
320	1.099714282
321	1.099676572
