iter	Passed	Remaining
0	21	423341
1	42	429232
2	62	417983
3	85	425480
4	104	418702
5	125	418006
6	145	416384
7	168	420563
8	188	417877
9	209	418046
10	230	419576
11	252	420695
12	272	418950
13	295	421159
14	317	423338
15	339	423452
16	360	424009
17	380	422222
18	403	424824
19	424	424436
20	444	422768
21	464	422051
22	484	421247
23	505	420395
24	525	420097
25	545	419088
26	566	419166
27	587	419069
28	608	419074
29	628	418522
30	651	419821
31	671	419019
32	692	418990
33	712	418684
34	735	419550
35	755	419031
36	776	419044
37	800	420256
38	821	420546
39	842	420274
40	862	419856
41	883	419856
42	906	420626
43	926	420003
44	949	420880
45	969	420361
46	990	420324
47	1008	419346
48	1030	419599
49	1052	420125
50	1075	420664
51	1096	420525
52	1116	420388
53	1135	419456
54	1156	419322
55	1177	419460
56	1198	419449
57	1221	419831
58	1241	419766
59	1263	419919
60	1283	419470
61	1303	419311
62	1323	418948
63	1345	419037
64	1365	418728
65	1387	419017
66	1408	419153
67	1428	418739
68	1451	419136
69	1473	419595
70	1495	419679
71	1516	419797
72	1538	420003
73	1560	420199
74	1581	420070
75	1603	420350
76	1625	420571
77	1647	420675
78	1669	420932
79	1689	420792
80	1709	420483
81	1738	422321
82	1760	422553
83	1785	423278
84	1808	423654
85	1830	423931
86	1851	423705
87	1873	423842
88	1894	423771
89	1919	424547
90	1941	424736
91	1965	425209
92	1984	424805
93	2009	425458
94	2030	425447
95	2054	425898
96	2080	426798
97	2107	427903
98	2138	429892
99	2167	431273
100	2189	431394
101	2212	431583
102	2235	431758
103	2259	432251
104	2282	432557
105	2306	432881
106	2330	433307
107	2354	433690
108	2377	433944
109	2399	433830
110	2421	433929
111	2444	434145
112	2467	434216
113	2488	434135
114	2508	433762
115	2529	433569
116	2549	433339
117	2571	433349
118	2592	433191
119	2614	433134
120	2636	433172
121	2656	432915
122	2676	432477
123	2698	432521
124	2719	432474
125	2741	432439
126	2764	432545
127	2786	432542
128	2808	432591
129	2830	432684
130	2850	432387
131	2874	432690
132	2895	432560
133	2918	432669
134	2939	432609
135	2964	432983
136	2985	432912
137	3014	433808
138	3036	433940
139	3056	433605
140	3076	433270
141	3096	433087
142	3118	433028
143	3141	433162
144	3163	433218
145	3184	433013
146	3206	433092
147	3227	432985
148	3249	432926
149	3270	432806
150	3294	433026
151	3317	433165
152	3339	433150
153	3363	433481
154	3385	433450
155	3405	433250
156	3428	433374
157	3450	433378
158	3472	433333
159	3494	433312
160	3516	433334
161	3537	433241
162	3559	433172
163	3580	433080
164	3602	433018
165	3622	432863
166	3645	432933
167	3666	432821
168	3689	432932
169	3713	433171
170	3737	433418
171	3758	433332
172	3780	433314
173	3802	433211
174	3825	433324
175	3847	433386
176	3867	433136
177	3895	433811
178	3916	433726
179	3938	433667
180	3962	433914
181	3986	434095
182	4013	434571
183	4034	434451
184	4055	434405
185	4077	434416
186	4098	434282
187	4120	434210
188	4143	434325
189	4164	434229
190	4188	434349
191	4208	434176
192	4233	434474
193	4256	434559
194	4277	434461
195	4300	434559
196	4321	434459
197	4343	434433
198	4365	434380
199	4387	434349
200	4410	434448
201	4434	434593
202	4456	434566
203	4476	434425
204	4499	434486
205	4520	434401
206	4542	434360
207	4562	434141
208	4583	434063
209	4605	434014
210	4627	433991
211	4649	433955
212	4671	433967
213	4693	433945
214	4716	433996
215	4736	433834
216	4758	433772
217	4778	433647
218	4800	433569
219	4821	433479
220	4846	433742
221	4869	433853
222	4890	433751
223	4912	433671
224	4935	433733
225	4955	433583
226	4978	433631
227	4998	433426
228	5021	433507
229	5043	433483
230	5064	433379
231	5085	433292
232	5107	433283
233	5128	433180
234	5149	433147
235	5172	433198
236	5194	433174
237	5215	433077
238	5238	433170
239	5262	433247
240	5283	433205
241	5308	433418
